data_code,data_time,h_price,l_price,price,qty
326030,2021.02.25 ,"126,500","122,000","126,000","1,475,434"
data_code,data_time,h_price,l_price,price,qty
326030,2021.02.25 ,"126,500","122,000","126,000","1,475,434"
